company,revenue_usdbn,pct_subsea,sps,surf_inst,flex,cables,services,wells,fleet,brazil,subsea_revenue_est,n_segments,cluster,stability_pct
TechnipFMC,9.0,85,1,1,1,1,0,0,16,2,7.65,4,0,100.0
Subsea7,6.8,100,0,1,0,0,1,0,36,2,6.8,2,2,97.0
Saipem,13.0,50,0,1,0,0,1,1,20,1,6.5,3,2,95.0
SLB (OneSubsea),36.0,10,1,0,0,0,1,1,0,2,3.6,3,1,83.0
Baker Hughes,27.5,15,1,0,1,0,0,1,0,2,4.125,3,1,84.0
Aker Solutions,4.5,60,1,0,0,1,0,0,0,1,2.7,2,1,85.0
Oceaneering,2.7,70,0,0,0,1,1,0,5,2,1.89,2,3,100.0
McDermott,3.0,40,0,1,0,0,0,0,10,1,1.2,1,4,73.0
NOV,8.8,20,1,0,1,0,0,1,0,1,1.76,3,1,90.0
Halliburton,23.0,5,1,0,0,0,0,1,0,1,1.15,2,1,90.0
Prysmian,18.0,15,0,0,0,1,0,0,4,0,2.7,1,5,90.0
Nexans,8.0,20,0,0,0,1,0,0,3,0,1.6,1,5,90.0
DOF Group,2.0,100,0,1,0,0,1,0,50,2,2.0,2,2,96.0
Helix Energy,1.3,100,0,0,0,0,1,1,10,1,1.3,2,3,100.0
Innovex (Dril-Quip),1.0,60,1,0,0,0,0,1,0,1,0.6,2,1,89.0
